system:index,area,band,class,class_name,.geo
2_0_18,5795.2496310089455,classification_1987,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_19,2.007349759460442,classification_1987,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_20,1.8963873093872075,classification_1987,40,Rice,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_21,39.38137214276133,classification_1987,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_22,20.484232319946294,classification_1987,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_23,3.0259529982910225,classification_1987,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_24,277.2564778897849,classification_1987,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_0,31.94848758276328,classification_1988,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_1,310860.2449125783,classification_1988,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_2,21953.932062008207,classification_1988,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_3,895.9717656263475,classification_1988,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_4,101.32161149310417,classification_1988,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_5,5287.692411371822,classification_1988,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_6,30709.08782965544,classification_1988,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_7,73.44722459167345,classification_1988,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_8,2678.670223667335,classification_1988,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_9,0.18530149932861328,classification_1988,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_10,906.8655661408699,classification_1988,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_11,1109.7966673473782,classification_1988,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_12,1.2016764779663085,classification_1988,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_13,267.08859301507556,classification_1988,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_14,309.27917087407695,classification_1988,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_15,2.716939309509258,classification_1988,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_16,0.021100907775878905,classification_1988,31,Aquaculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_17,4.91891964935303,classification_1988,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_18,5876.811062129565,classification_1988,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_19,2.494967594177232,classification_1988,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_20,1.6260105736083994,classification_1988,40,Rice,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_21,43.62396863336186,classification_1988,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_22,19.12054727905276,classification_1988,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_23,3.8956261435546766,classification_1988,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_24,278.31328444166354,classification_1988,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_0,24.225256095641864,classification_1989,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_1,310535.5030427842,classification_1989,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_2,21989.65021409366,classification_1989,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_3,904.9089625714547,classification_1989,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_4,101.10180123486437,classification_1989,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_5,5537.100895265112,classification_1989,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_6,30600.65202979433,classification_1989,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_7,75.48415646630718,classification_1989,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_8,2673.9002987685803,classification_1989,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_9,0.1941773662109375,classification_1989,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
